ofs,nom,canton,district,prix_m2_appart,prix_m2_median,n_annonces,fiabilite,prix_source,prix_date,pop_80plus,part_80plus,indice_pouvoir_achat,revenu_median_est
5712,Coppet,Vaud,Nyon,26533.0,26533.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,194.0,6.0,66.7,68436.0
5607,Puidoux,Vaud,Lavaux-Oron,24468.0,24468.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,101.0,3.4,36.5,55030.0
6617,Cologny,Genève,Genève,22270.0,18894.0,14,solide (5+),Homegate/Apify (annonces réelles),2026.0,457.0,7.6,71.8,59524.0
5855,Dully,Vaud,Nyon,21429.0,21429.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,27.0,4.4,77.1,72965.0
6612,Chêne-Bougeries,Genève,Genève,21255.0,17701.0,26,solide (5+),Homegate/Apify (annonces réelles),2026.0,1174.0,8.2,47.3,49483.0
6602,Anières,Genève,Genève,19652.0,17944.0,8,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,117.0,4.6,45.2,45770.0
5729,Tannay,Vaud,Nyon,19095.0,19095.0,2,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,97.0,5.6,61.5,67969.0
5427,Féchy,Vaud,Morges,19032.0,19032.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,35.0,3.8,62.0,72750.0
6642,Vandoeuvres,Genève,Genève,18439.0,15737.0,9,solide (5+),Homegate/Apify (annonces réelles),2026.0,146.0,4.8,66.9,58537.0
6616,Collonge-Bellerive,Genève,Genève,17245.0,19038.0,19,solide (5+),Homegate/Apify (annonces réelles),2026.0,588.0,6.8,66.0,59498.0
5473,Boussens,Vaud,Gros-de-Vaud,17182.0,17182.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,22.0,2.2,60.3,71224.0
6621,Genève,Genève,Genève,16812.0,16564.0,85,solide (5+),Homegate/Apify (annonces réelles),2026.0,11144.0,5.3,15.5,44105.0
6614,Choulex,Genève,Genève,16733.0,9562.0,3,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,75.0,6.1,51.4,67230.0
5632,Denges,Vaud,Morges,16377.0,16377.0,1,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,52.0,2.8,47.0,56571.0
5885,Jongny,Vaud,Riviera-Pays-d'Enhaut,16071.0,16071.0,1,annonces (surface estimée),Homegate/Apify (annonces réelles),2026.0,88.0,4.6,49.5,68106.0
5851,Allaman,Vaud,Morges,16036.0,,,estimé (voisinage),"estimé (voisinage, communes proches)",,18.0,4.2,41.4,55184.0
5861,Rolle,Vaud,Nyon,16036.0,14893.0,38,solide (5+),Homegate/Apify (annonces réelles),2026.0,391.0,6.0,49.2,55535.0
6619,Corsier (GE),Genève,Genève,15987.0,17139.0,6,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,121.0,5.2,64.4,63258.0
6613,Chêne-Bourg,Genève,Genève,15826.0,15737.0,3,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,449.0,4.7,15.7,45223.0
5613,Bourg-en-Lavaux,Vaud,Lavaux-Oron,15509.0,14586.0,10,solide (5+),Homegate/Apify (annonces réelles),2026.0,339.0,6.2,55.2,64663.0
6622,Genthod,Genève,Genève,15426.0,13453.0,4,indicative (1-4),Homegate/Apify (annonces réelles),2026.0,166.0,5.8,64.5,52829.0
